wn95b Shoulder Shoulder Hip Hip Tib.Epic. Tib.Epic. Knee Knee Ankle Ankle Heel Heel Ball Ball Toes Toes
Time "Mark01 X" "Mark01 Y" "Mark02 X" "Mark02 Y" "Mark03 X" "Mark03 Y" "Mark04 X" "Mark04 Y" "Mark05 X" "Mark05 Y" "Mark06 X" "Mark06 Y" "Mark07 X" "Mark07 Y" "Mark08 X" "Mark08 Y"
s cm cm cm cm cm cm cm cm cm cm cm cm cm cm cm cm
1.1011 2.012149 1.066019 2.006523 0.8138369 2.094302 0.5110324 2.069397 0.4303313 1.820941 0.2184117 1.750606 0.2314351 1.836562 9.55E-02 1.889276 5.29E-02
1.1154 2.029416 1.067658 2.02667 0.8177466 2.126195 0.5185384 2.104448 0.4351606 1.870618 0.2073489 1.798928 0.2124738 1.897575 8.56E-02 1.954753 4.82E-02
1.1297 2.046898 1.068838 2.047264 0.8211268 2.156538 0.5255256 2.137906 0.4395972 1.921828 0.1948252 1.849461 0.1914385 1.960278 7.53E-02 2.021595 4.39E-02
1.144 2.064651 1.069514 2.068091 0.8238171 2.185291 0.5317006 2.16972 0.4434198 1.974437 0.1814253 1.902298 0.1691868 2.024278 6.53E-02 2.089274 0.0405064
1.1583 2.082682 1.06966 2.088912 0.8257059 2.212463 0.5368164 2.199894 0.4464528 2.028312 0.1677773 1.957471 0.1466628 2.08921 5.62E-02 2.15717 3.87E-02
1.1726 2.100927 1.069267 2.109541 0.8267267 2.238084 0.5406571 2.228426 0.4485691 2.083313 0.1545077 2.014893 0.1247679 2.154768 4.87E-02 2.224634 3.89E-02
1.1869 2.119303 1.068342 2.129897 0.8268567 2.26219 0.5430381 2.255296 0.4496955 2.139277 0.1422319 2.074305 0.1043112 2.22066 4.34E-02 2.291143 4.17E-02
1.2012 2.137771 1.066912 2.150002 0.8261123 2.284821 0.5438089 2.280541 0.4498192 2.195964 0.1315182 2.135276 8.60E-02 2.286478 0.0407737 2.35632 4.72E-02
1.2155 2.156341 1.065018 2.169943 0.8245411 2.306035 0.5428782 2.304336 0.4489886 2.252985 0.1227906 2.197222 7.04E-02 2.351656 4.12E-02 2.419832 5.56E-02
1.2298 2.175062 1.062718 2.189874 0.8222204 2.325924 0.5402719 2.326991 0.4473083 2.309739 0.1162404 2.259372 5.78E-02 2.415475 4.48E-02 2.481244 6.69E-02
1.2441 2.194016 1.060082 2.210016 0.8192642 2.344661 0.5361862 2.348872 0.4449302 2.365382 0.111814 2.320734 4.83E-02 2.477048 5.18E-02 2.539896 0.0808221
1.2584 2.213289 1.057191 2.230606 0.8158279 2.362543 0.5309796 2.370291 0.4420429 2.418856 0.1092665 2.380113 4.19E-02 2.535336 6.18E-02 2.594906 9.67E-02
1.2727 2.232909 1.054138 2.251768 0.8121001 2.379977 0.5251077 2.391431 0.4388534 2.468942 0.1082001 2.436101 3.81E-02 2.589177 7.38E-02 2.645308 0.113185
1.287 2.252853 1.051019 2.273474 0.8082848 2.397442 0.5190752 2.412375 0.4355634 2.514404 0.1080767 2.487122 3.63E-02 2.637387 8.61E-02 2.690243 0.1287816
1.3013 2.273128 1.047934 2.295672 0.8045886 2.415505 0.5133975 2.433232 0.4323476 2.554232 0.108284 2.531705 3.57E-02 2.679028 9.69E-02 2.729151 0.1417693
1.3156 2.293799 1.044981 2.318429 0.8012111 2.434737 0.5085186 2.454207 0.4293426 2.587869 0.1082408 2.568786 3.55E-02 2.713621 0.104394 2.761889 0.1505409
1.3299 2.314934 1.042255 2.341882 0.7983329 2.455504 0.5047314 2.475553 0.4266514 2.615296 0.1075068 2.597866 3.53E-02 2.741208 0.1071813 2.788734 0.1538608
1.3442 2.336574 1.039847 2.366102 0.796106 2.477825 0.5021694 2.49745 0.4243597 2.63704 0.1059159 2.619114 3.48E-02 2.762353 0.1048154 2.810303 0.1512292
1.3585 2.358754 1.037842 2.391023 0.7946457 2.501396 0.5008267 2.519926 0.4225453 2.65408 0.1036325 2.633413 3.44E-02 2.778086 9.78E-02 2.827462 0.1430486
1.3728 2.381479 1.036312 2.416403 0.7940162 2.525718 0.5005777 2.542865 0.4212644 2.667615 0.1010251 2.642204 3.43E-02 2.789683 8.74E-02 2.841237 0.1304859
1.3871 2.404648 1.035313 2.441821 0.7942281 2.550258 0.5012346 2.566055 0.4205359 2.678733 9.85E-02 2.647155 3.48E-02 2.798342 7.54E-02 2.852567 0.1152255
1.4014 2.428021 1.034889 2.466788 0.7952477 2.574587 0.5026182 2.589231 0.4203343 2.688113 9.62E-02 2.649782 3.59E-02 2.804909 6.34E-02 2.862017 9.92E-02
1.4157 2.451272 1.035068 2.490874 0.7970026 2.598379 0.5045531 2.612055 0.4205796 2.695959 9.44E-02 2.651175 3.71E-02 2.809824 0.0528314 2.869699 8.41E-02
1.43 2.474067 1.035865 2.51378 0.7993768 2.621272 0.5068107 2.634017 0.421136 2.70223 9.28E-02 2.651936 3.82E-02 2.813305 4.43E-02 2.87551 7.11E-02
1.4443 2.496124 1.03728 2.535364 0.8022152 2.642741 0.509109 2.654408 0.4218419 2.706875 0.091621 2.652312 3.88E-02 2.815522 0.0379917 2.879426 6.08E-02
1.4586 2.517298 1.039296 2.555673 0.8053446 2.662168 0.5111837 2.672511 0.4225542 2.709905 9.06E-02 2.652391 3.90E-02 2.816628 3.35E-02 2.88163 5.33E-02
1.4729 2.537643 1.041882 2.574933 0.8086082 2.679093 0.512862 2.687894 0.423175 2.711439 8.97E-02 2.652229 3.86E-02 2.816797 3.04E-02 2.882485 4.83E-02
1.4872 2.557421 1.044994 2.593524 0.8118922 2.693465 0.5140885 2.700542 0.4236581 2.711771 0.0890035 2.651885 3.79E-02 2.816321 2.83E-02 2.882486 4.51E-02
1.5015 2.577106 1.048585 2.611952 0.8151274 2.705665 0.5148935 2.710787 0.4239947 2.711383 8.85E-02 2.651447 3.72E-02 2.815597 2.71E-02 2.882173 4.32E-02
