Time	FHx	FHy	FHz	LEx	LEy	LEz	MEx	MEy	MEz	HFx	HFy	HFz	TTx	TTy	TTz	LMx	LMy	LMz	MMx	MMy	MMz	CAx	CAy	CAz	FMx	FMy	FMz	VMx	VMy	VMz	Fx	Fy	Fz	COPx	COPy	COPz	My
0.293	288.8804	830.68317	-376.79105	348.3847	475.29288	-194.5177	394.57935	464.14151	-349.49359	345.03488	408.4249	-199.59183	400.07983	410.38724	-244.49049	320.79736	62.16519	-250.03876	353.05429	82.01631	-327.3074	275.51202	38.46697	-296.34949	485.12393	36.89365	-280.59314	442.25021	29.96619	-211.14056	-26.02	605.06	-30	373.18	0	-271.77	1170.19
0.3	295.94373	831.7536	-376.50241	350.89343	475.29071	-194.52899	409.86774	466.79562	-348.04327	347.0379	408.47787	-199.70222	402.00818	410.05368	-244.66879	320.93152	62.27843	-250.10205	353.21655	82.03384	-327.36752	275.57819	38.65097	-296.36493	485.26474	36.76491	-280.71024	442.29898	29.94626	-211.12669	-24.28	592.13	-28.38	376.78	0	-271.2	1101.21
0.307	303.00543	832.75262	-376.1716	353.43555	475.27841	-194.51959	424.93909	469.49506	-346.66034	349.07309	408.52341	-199.79016	403.97095	409.70847	-244.81328	321.07098	62.39697	-250.16353	353.40088	82.06053	-327.418	275.65027	38.84456	-296.38922	485.40936	36.64179	-280.80884	442.34775	29.91692	-211.09314	-22.82	582.19	-27.6	380.54	0	-270.55	1004.48
0.313	310.06796	833.67004	-375.78766	356.00983	475.25549	-194.48366	439.75537	472.22647	-345.34979	351.14075	408.55945	-199.85062	405.97379	409.35321	-244.90974	321.21365	62.51974	-250.22261	353.60754	82.09718	-327.45764	275.72894	39.04475	-296.42633	485.55447	36.52625	-280.8862	442.39554	29.87762	-211.03911	-21.37	573.38	-27.29	383.67	0	-269.67	993.64
0.32	317.13483	834.49884	-375.34445	358.61475	475.22122	-194.41811	454.28198	474.97601	-344.11456	353.24213	408.5842	-199.88158	408.02194	408.98941	-244.94939	321.35846	62.64603	-250.27965	353.83655	82.14362	-327.48666	275.81555	39.24854	-296.48099	485.69687	36.41946	-280.94067	442.44159	29.82854	-210.96518	-20.57	565.28	-27.25	388.08	0	-268.08	1006.53
0.327	324.20956	835.23499	-374.83957	361.25	475.17438	-194.32242	468.48877	477.7276	-342.95551	355.37872	408.59625	-199.88359	410.11871	408.61801	-244.92981	321.50513	62.77559	-250.33566	354.0874	82.19877	-327.50668	275.91095	39.45503	-296.55664	485.83353	36.32175	-280.97174	442.48547	29.7705	-210.87325	-19.96	559.41	-27.69	391.94	0	-267.09	946.43
0.333	331.29535	835.87628	-374.27493	363.91705	475.11322	-194.19843	482.35046	480.4617	-341.87149	357.55194	408.5947	-199.85912	412.26523	408.23941	-244.85423	321.65427	62.90871	-250.392	354.35938	82.26079	-327.52045	276.01422	39.66623	-296.65424	485.96179	36.23289	-280.97958	442.52679	29.70493	-210.76639	-19.27	556.88	-28.12	395.55	0	-265.93	1000.15
0.34	338.39493	836.422	-373.65656	366.6189	475.03558	-194.04997	495.84686	483.15524	-340.85931	359.76251	408.57919	-199.81201	414.46042	407.85373	-244.73016	321.80701	63.04608	-250.44981	354.65106	82.32748	-327.53116	276.12329	39.88514	-296.77271	486.07977	36.15219	-280.96494	442.56534	29.63371	-210.64856	-18.38	552.81	-29.78	399.54	0	-265.04	908.48
0.347	345.51108	836.87225	-372.99536	369.35889	474.93976	-193.88239	508.96216	485.78214	-339.9137	362.0105	408.54987	-199.74701	416.70102	407.46112	-244.56789	321.96423	63.18874	-250.50995	354.96045	82.39662	-327.54208	276.23639	40.11377	-296.91022	486.18671	36.07902	-280.92923	442.60089	29.55898	-210.52422	-18.25	552.81	-29.83	402.95	0	-263.56	947.43
0.353	352.64597	837.22778	-372.30603	372.13934	474.82513	-193.70189	521.68347	488.31387	-339.02747	364.29538	408.50754	-199.66956	418.98187	407.0621	-244.37914	322.12613	63.3379	-250.57295	355.28497	82.46628	-327.55612	276.35284	40.3531	-297.06464	486.28448	36.01325	-280.87573	442.63312	29.48292	-210.39793	-17.55	553.53	-30.93	406.58	0	-262.56	1007.58
